OpportunityId;CompanyName;Quarter;TeoricalValue;VariationPerc;RealValue;QualificationLevel;TTC;Winner;Status
COqJQd4ENAEw4302lMuuX2gi;SP Group P.C.;2019 Q2;560;-7;521;2;5;6bb2eea06979bd218b301630d467a5b4;CLOSE
6saFAsgFcjiLqx3UzOyQVoGp;DevelopIntelligence;2019 Q2;486;-13;423;2;5;null;OPEN
z62FRbmjNzvqgwQa81hYs5kD;A-LIGN;2019 Q2;172;11;191;2;5;null;OPEN
iEMuaoH475Rz4aSX4tkxLLyh;SPEAR Physical Therapy;2019 Q2;1214;-32;826;2;5;null;OPEN
rUFOP9lzoiSj5C2vkHzCbymX;Managed Solution;2019 Q2;691;7;739;3;5;null;OPEN
sxfTlfRZgjX5uuX58xGqhRBi;Freddy's Frozen Custard & Steakburgers;2019 Q2;422;15;485;4;5;null;OPEN
7IEFwJWPL1ebRV4h8PHK91W1;Surya;2019 Q2;909;4;945;3;5;d4672713f08ec4ced1d3c68f9f17e835;CLOSE
n662ODMSE6a590mvA0LRuq2J;MyITpros;2019 Q2;1063;14;1212;4;5;null;OPEN
EuqjOoikJmkA3V6UeOPukSlL;Simeio Solutions;2019 Q2;130;9;142;3;5;null;OPEN
Cb66SSrSL7HOdNBoAOlz6wpZ;ISHIR;2019 Q2;127;-50;64;1;5;null;OPEN
jMK8BB6DBPCQ7hOUTI9yYSFg;Fresno First Bank;2019 Q2;77;15;89;4;5;null;OPEN
QUYHVSuUf0HWPOTkMEnKDtLo;Chesapeake Plumbing & Heating;2019 Q2;400;0;NaN;5;5;null;OPEN
rRcMG4wXYuotFH4zBdT8wxbM;FEDSYNC;2019 Q2;74;8;80;2;5;null;OPEN
2N3qqHJEm4krGitqqpGpQtbG;VYRIAN;2019 Q2;853;-1;844;3;5;null;OPEN
NIvtNf42PX0ZeI8P5cVrJWHG;NAI Benchmark;2019 Q2;347;-50;174;1;5;null;OPEN
NKVoANuxamjXgWeeaO417514;Unitas Global;2019 Q2;332;-1;329;1;5;null;OPEN
sOFUSnvg702B20U38RuFbqpd;TEEMA;2019 Q2;19;-29;13;2;5;null;OPEN
AfWyzkKTEutkPPS754gJkHdQ;540.co;2019 Q2;115;14;131;4;5;null;OPEN
8zpKaNpiSs6eJc5JUk4luQCY;Konnect Agency;2019 Q2;252;-26;186;2;5;null;OPEN
bT1X1k63fYgNKp9MHh1CtKMd;Core and More Technologies;2019 Q2;645;-21;510;2;5;null;OPEN
YYnLijfLFm3DsJOfFwf3QRrc;Sunkiko;2019 Q2;507;0;507;3;5;null;OPEN
XCN4ZXfN2HL1N2KBQUK8DOCq;Chartis Federal;2019 Q2;438;9;477;3;5;null;OPEN
3hbNHLx9qadpohvUnZluw3tf;MM.LaFleur;2019 Q2;1212;-14;1042;2;5;null;OPEN
cTGTCYl9MAS9k5EXgCbfQHcs;PC Pitstop;2019 Q2;380;-48;198;1;5;null;OPEN
y6x7THTaWWI3o1uqmc5wtJXZ;Evergreen Escapes / EG-X;2019 Q2;235;-50;118;1;5;null;OPEN
uNXyK5MFxfRbUnYxFeabq7C9;Digital Marketing Services;2019 Q2;1376;-46;743;1;5;null;OPEN
2GsOYjXEg1zdV9zpnMsk6tNL;Aegis Strategies;2019 Q2;317;-31;219;2;5;null;OPEN
Z3IbNO2x2LlpfmLbid1X0SA9;Kupanda Capital;2019 Q2;1056;-1;1045;3;5;d4672713f08ec4ced1d3c68f9f17e835;CLOSE
bUJqOHcwNtrMA8lTRSugLnMJ;Prosource Fitness Equipment;2019 Q2;294;-23;226;2;5;null;OPEN
qBVzcwQ1obf3BCyQFQN4Ag8Q;Austin & Williams;2019 Q2;375;-14;323;2;5;null;OPEN
2mwxmqqZdELjlRhO3eot0IJ4;Softvision;2019 Q2;1142;-11;1016;2;5;null;OPEN
46P10ez7ddNCzpks4YH1FvRH;PeopleG2;2019 Q2;1006;-47;533;2;5;null;OPEN
vGxK7lxuzprYV4g49e3p1BNu;CatPrint.com;2019 Q2;309;-46;167;1;5;null;OPEN
fJU7f5KCRCiPo7OgS7YCHeWg;ARServices;2019 Q2;579;-18;475;2;5;null;OPEN
hPLHtHyoRFOEcX3QdiENp5r9;Horsetail Technologies;2019 Q2;256;-8;236;3;5;null;OPEN
1eYjDsgR01AA7Pr6ZUcQ2fQO;Knight Point Systems;2019 Q2;228;-9;207;3;5;null;OPEN
rhqRUFonvgtpq3upE5FPacnA;Advanced Discovery;2019 Q2;337;-45;185;2;5;null;OPEN
3TnWwh8ZgqJCZbdRqEogSM9d;Taoti Creative;2019 Q2;325;11;361;3;5;null;OPEN
1nJ6S0gW574o46DRMCc35FnC;Southern RV;2019 Q2;852;15;980;4;5;null;OPEN
GRLs73Seb1gyTh3S4YsXw2MD;Quality Engineering & Surveying;2019 Q2;1006;14;1147;4;5;null;OPEN
FmvGnB0TI8qyVYv7WsVssLF3;Transfinder;2019 Q2;391;-29;278;2;5;null;OPEN
9sksvZYxoeDyJKZrctgBXhDA;M. A. Silva USA;2019 Q2;89;-33;60;2;5;null;OPEN
nkcwh1KzI09Xn5cnp8tzRNG7;Foundant Technologies;2019 Q2;93;-36;60;2;5;null;OPEN
uZS6TycoZYyx940LfmZto7lW;Viva Railings;2019 Q2;235;-17;195;1;5;null;OPEN
HIHieN2skpUo2zN6UMsP6zaY;EverQuote;2019 Q2;279;4;290;2;5;null;OPEN
txVMmb1J655r1z3BDSwFTF9a;Core Nutritionals;2019 Q2;503;-47;267;1;5;null;OPEN
pe96ViyHEiSlrJJabUPizMVi;Complete Recovery;2019 Q2;1152;15;1325;4;5;null;OPEN
3xnoKeX403H5NuD93ncIqPgq;Cullum Homes;2019 Q2;204;-50;102;1;5;null;OPEN
kbFBPMPUsyTENcz0tFb5E5qA;CalCom Solar;2019 Q2;631;-45;347;2;5;null;OPEN
XDakOzPiAlM0nNQa1ekz4UIL;Chicken and Rice Guys;2019 Q2;10;13;11;2;5;null;OPEN
BS7cZpKrb5Efw0MJwskHDldE;Chef's Cut Real Jerky;2019 Q2;507;-49;259;1;5;null;OPEN
wG64CMy6YrHTPQOOTeCbc6ry;Delta Defense;2019 Q2;110;14;125;4;5;null;OPEN
6OQHaMBrqLi3Mv1bruEZ3fAC;JeffreyM Consulting;2019 Q2;142;14;162;4;5;null;OPEN
3E3FwIAzM3zudfHFFDblssXs;CFO Alliance;2019 Q2;59;14;67;4;5;null;OPEN
clQNZtVrTaYEiZCKbtJwpOms;Emergenetics International;2019 Q2;346;-49;176;1;5;null;OPEN
8Iul5JO2im1RymnEpBAhqbUE;LEEP Forward;2019 Q2;537;-20;430;2;5;null;OPEN
dsNmNIOh4QaJUf3CNKVJAI7k;capSpire;2019 Q2;506;3;521;3;5;null;OPEN
chXwcz98yKIoLYo6CrLqpEO5;Knowledge Hub Media;2019 Q2;692;8;747;2;5;null;OPEN
UJTLPthTdZK8fnr9C8bxbL0V;Burwood Group;2019 Q2;387;14;441;4;5;null;OPEN
vtB4Htf88DJJRZcPRVG7c5dm;Point Recognition;2019 Q2;226;-8;208;2;5;null;OPEN
skOKQzM8anOkobhozd9NKKM2;Very;2019 Q2;69;5;72;2;5;null;OPEN
br8UeQwGj1BxK7jf1poVI7eY;Design To Delivery;2019 Q2;1434;-11;1276;1;5;null;OPEN
KAgrHMdmvuqWZIPW5FKd8K08;RevolutionParts;2019 Q2;153;8;165;3;5;null;OPEN
CQRQuxb5mqRJSA7gUnwLsdsX;Mabbly;2019 Q2;8;-30;6;1;5;null;OPEN
pivfb7OJc04wt27YFsCPX6ga;RE/MAX TITANIUM;2019 Q2;365;-47;193;1;5;null;OPEN
0He4PgYuYBj2IdZBcxzfR9sw;Surefire Local;2019 Q2;209;-7;194;2;5;null;OPEN
iN0wIJoIwLvjZzM4HqR9sYsr;Gearhart Law;2019 Q2;788;-35;512;1;5;null;OPEN
poH2td52uNQORrQKHe2kCobR;Southwest Foodservice Excellence;2019 Q2;946;14;1078;4;5;null;OPEN
NyH3PrUJOcOgWmfyXe4Qvr6F;Choice Home Warranty;2019 Q2;501;15;576;4;5;null;OPEN
NEGxk7ZI4NtAz2mQrQtoAHX9;Illuminati Studios;2019 Q2;879;14;1002;4;5;null;OPEN
Xtinx63kgRJcb9TfKWWNSLSb;Fresno First Bank;2019 Q2;328;-48;171;1;5;null;OPEN
GwHCfBsuIhsjKHqYEy1Wq0NP;Kupanda Capital;2019 Q2;273;-5;259;2;5;null;OPEN
tojtKA2VZSwrneEE3ZL11OlK;ArrowCore Group;2019 Q2;5;14;6;4;5;null;OPEN
pvEd3TQymmdU9nrJ1rLFoNCm;Payscout;2019 Q2;894;6;948;3;5;null;OPEN
X0goHbHjEhzdAQlYxCETrxkf;Medix;2019 Q2;386;10;425;3;5;null;OPEN
n3jKpcsHo2jKuRc0kdyBBl3j;MediCopy Services;2019 Q2;409;6;434;3;5;null;OPEN
5g2xB0RQC4FPkZz787fm4x17;Diversified;2019 Q2;261;-49;133;1;5;null;OPEN
qcECi2THXQvIgebq0IGPYkM7;DiscoverIT Solutions;2019 Q2;1044;0;1044;2;5;null;OPEN
47hylzfNASVUPwR0FsRjcAFH;Relief-Mart;2019 Q2;1205;9;1313;3;5;null;OPEN
woYi7zfp15Ju69sa8HijaFMf;SunCommon NY;2019 Q2;103;14;117;4;5;null;OPEN
rdQl5ZX3ZRV6du3nQCmPdSO1;CONNECT Computer;2019 Q2;321;-50;161;1;5;null;OPEN
xuM3yBGrizDIsqW7ZsnOFWM9;Filterworks USA;2019 Q2;138;-24;105;3;5;null;OPEN
tqxp5qqhaLAx9xMp5QfRih9B;Delta Defense;2019 Q2;131;-27;96;2;5;null;OPEN
9rlS2uEIuGUXdX53KV6HZsdn;The Gober Group;2019 Q2;427;15;491;4;5;null;OPEN
nDunMuNltVLiSaHHE2ujbeiU;Metal Building Industries;2019 Q2;768;-26;568;2;5;null;OPEN
YpoBArWH871LAWeHuBLR3dYx;JeffreyM Consulting;2019 Q2;1074;13;1214;3;5;null;OPEN
RPpgjgY4IPYFcx3parhWUuQx;KRG TECHNOLOGIES;2019 Q2;398;-4;382;3;5;null;OPEN
yfe7yZwPELF0sTTAeTPEehMz;Rain City Capital;2019 Q2;344;1;347;3;5;null;OPEN
Q1gvBQXr2SfYIjUKYbsLuIze;West Hills Capital;2019 Q2;56;-47;30;2;5;null;OPEN
xf78FrA7Z9A31DJ99HNLK2F2;Scanco Software;2019 Q2;959;7;1026;3;5;null;OPEN
zhEIkcacVnX7XMdJnT5elNDL;OpenWater Software;2019 Q2;379;-41;224;2;5;null;OPEN
rOjaQ3rBlUjktTKTdxi0L59Q;Universal Separators;2019 Q2;499;2;509;3;5;null;OPEN
n2QNGgX5bmgATULd13NMFHNl;Whois API;2019 Q2;884;-29;628;2;5;null;OPEN
CoeLgWQIOP94bfJelxpWbTUW;AArete;2019 Q2;128;-41;76;1;5;null;OPEN
1cPzoOgjqPZRK0mFgwmXijh6;Meathead Movers;2019 Q2;291;-4;279;2;5;null;OPEN
2460nMFdaK6o2B3OPHsZSj1o;First Cornerstone Group;2019 Q2;69;11;77;4;5;null;OPEN
jesbEOmjIaLAKJmVEpdQw9YP;Findsome & Winmore;2019 Q2;519;-46;280;1;5;null;OPEN
mvdbVFf7EA4KUCEGYlIy4uVb;Excelleum Coaching and Consulting;2019 Q2;795;6;843;3;5;null;OPEN
BMcDeTUeczTK6w5Unto6x4P0;Inflow;2019 Q2;971;14;1107;4;5;null;OPEN
Ugpefb4y3JAjwQkeg5USy4RO;Purchasing Power;2019 Q2;105;14;120;2;5;null;OPEN
comugB3rcoi62pmYZbVHEgRu;Before The Movie;2019 Q2;61;-16;51;2;5;null;OPEN
jPQNFhtvANIKJwhYpUwyMTtI;Mark Spain Real Estate;2019 Q2;75;-31;52;1;5;null;OPEN
DfeTF9bUrDjSMWgSzLXvcxVH;Interwest Communications;2019 Q2;412;-50;206;2;5;null;OPEN
D5PLvbtZ3hz75Ult7CHJnSoU;ZippyPaws;2019 Q2;738;14;841;4;5;null;OPEN
gQkPHLLAjn9sKQy5MohxHUe7;Advocate;2019 Q2;89;-3;86;3;5;null;OPEN
ZTKdDLxkWnRGGMOeMsERmhHj;Black Clover Enterprises;2019 Q2;4;-50;2;1;5;null;OPEN
FS3QNC4hGztogmL0Ha6OfdQZ;ImageSoft;2019 Q2;22;-10;20;2;5;null;OPEN
rdL5oG45mXHqk9pXeHlJTBLT;Woodruff;2019 Q2;794;15;913;4;5;null;OPEN
K6Rn13MygNKZaj6QA4pARbSj;Summus Group;2019 Q2;1097;12;1229;3;5;null;OPEN
dZHGEH1jlcSNCT4RH3NyEIL9;Stony Point;2019 Q2;239;8;258;3;5;null;OPEN
UUEjco7WSTZG7h26HWSLPglU;MZ Capital Partners;2019 Q2;1276;-28;919;2;5;null;OPEN
yBYPfcZCpGQDNwzmcCnVwQ2K;VS carriers;2019 Q2;681;8;735;3;5;null;OPEN
e0zwZTvFoFhiP6vlKTGwu8r3;Accumatch Property Tax Intelligence;2019 Q2;496;4;516;3;5;null;OPEN
4Hi3pRIWkwJ8uRtWN0dPnMB2;Juvo Plus;2019 Q2;156;14;178;4;5;null;OPEN
YAF4JEkfsk9CSZN2GsyHepOX;Sky Zone Trampoline Park;2019 Q2;1375;-14;1183;2;5;null;OPEN
PaHgSmvfaaj55MfM8VP4foy8;MediCopy Services;2019 Q2;15;8;16;2;5;null;OPEN
qc6j1XWQcLBXSbTosRCTOoMd;Sound Rink;2019 Q2;924;14;1053;3;5;null;OPEN
TqSMtVDO2roohgNRFh262eQ3;Kobeyaki Holdings;2019 Q2;312;-22;243;2;5;null;OPEN
mVB9yErO3l8qPgUOc5nh16si;Blount Fine Foods;2019 Q2;405;-40;243;1;5;null;OPEN
tf9QsmJKwlEhAq2Z0670Tvco;Transformyx;2019 Q2;1053;14;1200;4;5;null;OPEN
2kLb2mbOygW37r8B4gLuT5X8;AdTheorent;2019 Q2;83;-30;58;2;5;null;OPEN
G90ASXtd4ZA5l3vISVpIEPbF;HealthCare Scouts;2019 Q2;370;-43;211;2;5;null;OPEN
24ZKrMMtgZb7cyk9J2cxfg42;SGW Designworks;2019 Q2;451;-31;311;2;5;null;OPEN
kxX7g6hkZYh6bMMOpELJbSc7;SmartBox Web Marketing;2019 Q2;340;10;374;3;5;null;OPEN
vwtvajqN9PD87HB7wvPxwgle;Spear;2019 Q2;256;3;264;1;5;null;OPEN
UFa7z3pu6nPry6ZlfKTiromQ;The Hired Guns;2019 Q2;132;-45;73;1;5;null;OPEN
d28kVMUktpay6JtSOMzsOxvp;Nussbaum Group;2019 Q2;440;-42;255;2;5;null;OPEN
nH11UZq03haK5YBLLEesyzn3;American Eagle Protective Services;2019 Q2;409;1;413;3;5;null;OPEN
XIMicZJNQBjrWAafmTJDDLVW;One Federal Solution;2019 Q2;360;-2;353;2;5;null;OPEN
84GbqrXn24lAE1Kk7F4CeA5y;Syndeo Outsourcing;2019 Q2;603;-21;476;2;5;null;OPEN
pjeyXGAEkMp0JuKTcQB12MEy;Navigate Power;2019 Q2;243;14;277;4;5;null;OPEN
6TxYZ2T4FQxM2Qlktwn7HxGP;Be Found Online;2019 Q2;340;-3;330;3;5;null;OPEN
LLsDGLKPpedWtSibDw8xr80t;Trinity Solar;2019 Q2;802;11;890;3;5;null;OPEN
BKSCNDCpGNXA73voQIemnFKI;GSG Computers;2019 Q2;392;-50;196;1;5;null;OPEN
QEIxODQshRFjPZGmDnQdIYFP;SeKON Enterprise;2019 Q2;562;5;590;3;5;null;OPEN
u67HRDdIHjpacNVAezKyuqBo;MicroSystems Automation Group;2019 Q2;777;-5;738;2;5;null;OPEN
sVsJg0L62YCfZoC04ODw0M1r;AcctTwo;2019 Q2;186;-1;184;3;5;null;OPEN
6oVbc3OCEBoty2PIvWkfnyG5;Audience Partners;2019 Q2;753;-36;482;2;5;null;OPEN
qfJGXFWly3EWDHMT5Gsr87g4;Taphandles;2019 Q2;777;4;808;2;5;null;OPEN
C23Wu3MIi5uLGZeBpbva4OiY;Coast Medical Service;2019 Q2;409;-13;356;3;5;null;OPEN
HlZMMNTkfLxreNNmQxvDGEet;Prestige Employee Administrators;2019 Q2;523;14;596;4;5;null;OPEN
l6blLWQtJMKZlDZT5kZSsRJr;Level Office;2019 Q2;418;-24;318;1;5;null;OPEN
G1aASzlnLkYoZp7ekPRV5a1c;Premier Staffing;2019 Q2;504;-14;433;2;5;null;OPEN
P9L2ZParqPa6AXOGUpBYStBw;OneTrust Home Loans;2019 Q2;320;1;323;2;5;null;OPEN
z6io6JgQeykdRyT1YSkS7acT;Entech Computer Services;2019 Q2;641;-36;410;1;5;null;OPEN
yEJsfFr5dW8kGvAJsz0uvaXy;Entech Computer Services;2019 Q2;466;-25;350;1;5;null;OPEN
MK39VpqspdMVWPb4138IVFlB;Dynamics Resources;2019 Q2;984;11;1092;2;5;null;OPEN
Tcn3BPcJyqhAXnzYyCuStJcE;Truelogic Software;2019 Q2;1407;-40;844;2;5;null;OPEN
YIDt2hi9LnwPqoDbo5L1SNxq;TXS Industrial Design;2019 Q2;172;14;196;3;5;null;OPEN
