OpportunityId;quarter;CompanyId;TrendScore;FeatureScore;BA;BR
f9tOCR9kV91w1AigE6nCxwXb;2019 Q3;595c32c9d98776c9c7b553e2ffb7c2d6;2890;5330;900;500
f9tOCR9kV91w1AigE6nCxwXb;2019 Q3;e6c258674d561c2b6fdac38a79d57243;2845;8230;1132;500
f9tOCR9kV91w1AigE6nCxwXb;2019 Q3;737962add6b0f4823171184ee18ac3dd;2690;30500;1472;500
f9tOCR9kV91w1AigE6nCxwXb;2019 Q3;437ba6fe24d7295ca42a59064db52b12;2840;12145;752;500
f9tOCR9kV91w1AigE6nCxwXb;2019 Q3;595c32c9d98776c9c7b553e2ffb7c2d6;2890;5330;900;250
f9tOCR9kV91w1AigE6nCxwXb;2019 Q3;e6c258674d561c2b6fdac38a79d57243;2845;8230;1132;250
f9tOCR9kV91w1AigE6nCxwXb;2019 Q3;737962add6b0f4823171184ee18ac3dd;2690;30500;1472;250
f9tOCR9kV91w1AigE6nCxwXb;2019 Q3;437ba6fe24d7295ca42a59064db52b12;2840;12145;752;250
f9tOCR9kV91w1AigE6nCxwXb;2019 Q3;e6c258674d561c2b6fdac38a79d57243;1910;29735;676;666
f9tOCR9kV91w1AigE6nCxwXb;2019 Q3;737962add6b0f4823171184ee18ac3dd;2535;23947;648;666
